"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"1","Australia","Western",1,"Math",NA,0.662828250998204,-0.326981766493218,0.848057801397345,NA,0.750090065106383,2.28325111578332,NA,2.27044646842271,0.572747738468678,0.775339103022363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Australia","Western",1,"Science",NA,0.304435928899103,-0.0230805082132213,0.443177561511268,NA,0.357220389778592,0.210549075198748,NA,0.232180106739704,0.188070842683208,0.42337118374412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Australia","Western",2,"Math",NA,0.780338537390061,-0.528238564955041,0.820462146391983,0.814062302353018,0.807508705820331,0.783806610053913,0.657483110666128,0.588084695707499,0.686839455242485,0.865140177841672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Australia","Western",2,"Science",NA,0.653834559477851,0.182420111495677,0.630259584467066,0.648598596213151,0.683252650773176,0.646984653205965,0.549551120405225,0.519961615109288,0.488018852968158,0.830495576444802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Australia","Western",3,"Math",NA,0.396202606802854,0.109896879761372,0.329957966924109,0.396038697108293,0.44019686061959,0.43302689303035,0.303248792001229,0.206601412152583,0.370546029975083,0.435191138644589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Australia","Western",3,"Science",NA,0.350467725403928,-0.321250075518226,0.166942123124263,0.24087253422502,0.351752952154394,0.41121962745353,0.275527372709833,0.206132555553299,0.292066918211984,0.437927287421622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,-0.292224583970661,1.81958257313857,-0.580657263245432,NA,-0.417740809179234,2.68696783917913,NA,2.60496066743317,-0.304916411344706,-0.266792427716803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Hong Kong SAR","Eastern",1,"Science",NA,-0.00137912114938576,0.798279248079733,0.196973496502343,NA,-0.000276335563244468,0.0229038259607323,NA,-0.0612438183641797,-0.0504470490939435,0.0571421298191074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Hong Kong SAR","Eastern",2,"Math",NA,-0.0246901608526624,-0.860825554243478,0.428075690839481,0.274962649354233,-0.0423831977886244,-0.0689203694908351,-0.0297411322944379,-0.0583714336233145,0.104100706508506,-0.149745931066649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","Hong Kong SAR","Eastern",2,"Science",NA,0.576306156340514,-0.845265211472878,1.30172542073842,0.972152788676752,0.633475641712923,0.436684852601545,0.399694822728503,0.374752141132578,0.765286329568254,0.373463200314187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Hong Kong SAR","Eastern",3,"Math",NA,0.144656160333644,0.232294892033792,0.358589581821139,0.219318139548941,0.18495492683783,0.0953945011526409,0.0709389022740239,0.112483421464468,0.240654758826624,0.0531974480937893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
