"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"1","Australia","Western",1,"Math",NA,0.614203448389414,-0.405198295813736,0.810443406665625,NA,0.708088272415775,2.3402508124047,NA,2.32097494469459,0.510131816197756,0.73885778446376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Australia","Western",1,"Science",NA,0.280336063487937,-0.0527265668599542,0.419738097131542,NA,0.342687537201166,0.179009794822192,NA,0.202231944883767,0.145699239481016,0.418460613516244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Australia","Western",3,"Math",NA,0.365212540963505,0.0358577802151896,0.30097637061479,0.370603334778657,0.415636408693834,0.402199085408777,0.261843566203425,0.15837876721837,0.343955021289372,0.399319530948617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Australia","Western",3,"Science",NA,0.328151378645377,-0.297839862379417,0.15721872009694,0.233060334865458,0.338515255349843,0.381703112008752,0.239952542077786,0.162270359199001,0.276676090707545,0.409573118543773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,-0.388849459141634,1.81117206612528,-0.681949185964052,NA,-0.514786219491919,2.75367756091195,NA,2.66239890832824,-0.411647566337681,-0.355363072165093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Hong Kong SAR","Eastern",1,"Science",NA,-0.0418154905304216,0.810682535733842,0.154608445557618,NA,-0.0340459384245193,-0.019482561453223,NA,-0.101929239341302,-0.107531698729885,0.0347127138257528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Hong Kong SAR","Eastern",3,"Math",NA,0.104297867002926,0.161539396901094,0.340591576125423,0.198516042135758,0.160191255607426,0.0465580550617053,0.0125551155400627,0.0530741674285147,0.206000386453536,0.0100064248734493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Hong Kong SAR","Eastern",3,"Science",NA,0.626236729210657,-0.0961240440205994,0.963916051138622,0.956754096827876,0.753401233012757,0.486944078464889,0.45894914422783,0.444235796493191,0.767246198002155,0.476023355699466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hungary","Western",1,"Math",NA,-0.358812089057949,-0.297294113591989,-0.361606514800374,NA,-0.321792895384677,-0.538861827046562,NA,-0.515320254570991,-0.41525102929416,-0.313623200861962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Hungary","Western",1,"Science",NA,-0.485443279064908,-0.684241484079051,-0.279170436703555,NA,-0.378330334708065,-0.539398307289609,NA,-0.711589969553409,-0.671087832293928,-0.276332686275658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
