"","Country","Region","Round","Subject","Year.TIMSS","Mean.TIMSS","StDev.TIMSS","Per5.TIMSS","Per10.TIMSS","Per25.TIMSS","Per75.TIMSS","Per90.TIMSS","Per95.TIMSS","Mean.M.TIMSS","Mean.F.TIMSS","Con.Num.TIMSS","Con.Alg.TIMSS","Con.Meas.TIMSS","Con.Geom.TIMSS","Con.Data.TIMSS","Con.Num.F.TIMSS","Con.Num.M.TIMSS","Con.Alg.F.TIMSS","Con.Alg.M.TIMSS","Con.Meas.F.TIMSS","Con.Meas.M.TIMSS","Con.Geom.F.TIMSS","Con.Geom.M.TIMSS","Con.Data.F.TIMSS","Con.Data.M.TIMSS","Con.SS.TIMSS","Con.SS.M.TIMSS","Con.SS.F.TIMSS","Con.CR.TIMSS","Con.CR.M.TIMSS","Con.CR.F.TIMSS","Con.Quant.TIMSS","Con.Quant.M.TIMSS","Con.Quant.F.TIMSS","Con.Un.TIMSS","Con.Un.M.TIMSS","Con.Un.F.TIMSS","Year.PISA","Mean.PISA","StDev.PISA","Per5.PISA","Per10.PISA","Per25.PISA","Per75.PISA","Per90.PISA","Per95.PISA","Mean.M.PISA","Mean.F.PISA","Con.Num.PISA","Con.Alg.PISA","Con.Meas.PISA","Con.Geom.PISA","Con.Data.PISA","Con.Num.F.PISA","Con.Num.M.PISA","Con.Alg.F.PISA","Con.Alg.M.PISA","Con.Meas.F.PISA","Con.Meas.M.PISA","Con.Geom.F.PISA","Con.Geom.M.PISA","Con.Data.F.PISA","Con.Data.M.PISA","Con.SS.PISA","Con.SS.M.PISA","Con.SS.F.PISA","Con.CR.PISA","Con.CR.M.PISA","Con.CR.F.PISA","Con.Quant.PISA","Con.Quant.M.PISA","Con.Quant.F.PISA","Con.Un.PISA","Con.Un.M.PISA","Con.Un.F.PISA"
"304","Armenia","Eastern",2,"Math",NA,0.52170768016117,-0.133769615846319,0.505799306038049,0.578697483289541,0.58973525477163,0.453343424946877,0.427591904722435,0.429772181708766,0.513183202275016,0.521211884939787,0.446341672736917,1.0323344631905,NA,0.468807147490706,-0.414360906464262,0.479767027754876,0.411068353983463,1.04005998298395,0.995258868518264,NA,NA,0.394755610244606,0.521541345563275,-0.462676370943087,-0.365363482387358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","Australia","Western",2,"Math",NA,0.48271499541556,-0.689428020131032,0.689992116907396,0.63074772538429,0.526624466508316,0.375873346000259,0.414333241010111,0.443237628655255,0.600978291869928,0.348213897598071,0.593023251495273,0.17361988699113,NA,0.386945915592572,0.880471049253999,0.479767027754876,0.697658262746582,0.0107222678658139,0.311232154760007,NA,NA,0.26849616530951,0.495208262196827,0.751422803914939,0.993111550581853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885450675858932,-0.459109433913729,1.03699070338223,0.9908208131576,0.925156748370031,0.822006683784198,0.793679764929283,0.784343793934155,0.900168232299752,0.859610091977799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Bahrain","Western",2,"Math",NA,-0.791046039607696,-0.226379349893771,-0.704610593960518,-0.735571129602883,-0.773457771715942,-0.799089518023452,-0.845239811660627,-0.862910725154156,-0.929164698212809,-0.636543876500931,-0.94046598097845,-0.783635706149156,NA,-0.636319483134112,-0.533274045254714,-0.873807658700887,-0.995827561762757,-0.546835661156509,-0.988418601380681,NA,NA,-0.461002849871044,-0.781946281075935,-0.435393243418188,-0.606588020951984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Chinese Taipei","Eastern",2,"Math",NA,1.8084662767663,1.81103479915017,1.18994403212419,1.33342599366341,1.68786297055329,1.97692164423037,2.01863155020126,2.03216036834093,1.77994092357302,1.82535055874657,1.57979023586967,2.22890395461586,NA,1.81951747380993,1.42218645929939,1.5896982706486,1.54440117500125,2.24095398395511,2.1991458847328,NA,NA,1.8397248133907,1.78552934715281,1.44714255579988,1.37399240094705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33745357744995,1.95121509413334,1.00200788447295,1.04190240990795,1.19499413331129,1.46296379417795,1.46280394631127,1.48321907416092,1.33594124777714,1.34184905720132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","England","Western",2,"Math",NA,0.703673542307349,-0.226379349893771,0.703148746255206,0.708823088526414,0.72857898895092,0.711577021435604,0.652989187831935,0.60482299201312,0.751484159746918,0.65428725981803,0.6863660743415,0.469242937813865,NA,0.700747304535421,1.17114761074177,0.615124496400453,0.749765518885331,0.396723911035115,0.530120703162649,NA,NA,0.647274500114797,0.745372554178089,1.14702815302598,1.18355197576445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Georgia","Eastern",2,"Math",NA,-0.635075300625257,0.884937458675653,-0.888803404829865,-0.852684174316069,-0.735591298757954,-0.527944241710288,-0.487255891427891,-0.472412763705982,-0.603068651145996,-0.663158951476579,-0.500421244703382,-0.530244519729668,NA,-0.67725009908318,-1.12783973920698,-0.535413987086946,-0.474755000375268,-0.518242946847672,-0.536960970300232,NA,NA,-0.741579394171257,-0.623947780877243,-1.13111299530312,-1.12712518311776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Ghana","Western",2,"Math",NA,-1.94782902039412,0.514498522485845,-1.98080364069814,-1.99778950040056,-1.95994059106624,-1.89658230310054,-1.86615691750954,-1.83242290530135,-1.71932050456701,-2.19352576257638,-1.98057172126498,-1.41711367219787,NA,-2.50548427814152,-1.81489342999626,-2.14616786396931,-1.84257047401743,-1.71913694781883,-1.1389044784075,NA,NA,-2.76173051313279,-2.26976549128029,-2.04509776738726,-1.62227028859252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Hong Kong SAR","Eastern",2,"Math",NA,1.47052967563768,0.699717990580749,1.0715343679939,1.20330038842653,1.47328629045802,1.53792453019953,1.48828500170832,1.4666115965884,1.39113409822413,1.54589227150226,1.44644334608935,1.49688497162623,NA,1.51935962351677,1.19757275269521,1.53555528319037,1.34899896448094,1.5404324833886,1.44671649959871,NA,NA,1.55914826909049,1.46953234675543,1.26980222688803,1.12007183403692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30628096354712,0.344332075435296,1.22939620738327,1.28028319474292,1.33784921945666,1.30272451657951,1.28031553320709,1.24496613771998,1.32091459207102,1.29362516067897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Hungary","Western",2,"Math",NA,0.755663788634829,-0.133769615846319,0.821558410385501,0.773885891144851,0.72857898895092,0.737400381084477,0.732541170105877,0.739477461478008,0.764026315403334,0.734132484744976,0.779708897187727,0.624093107292441,NA,0.673460227236043,0.867258478277282,0.736946218181472,0.814899589058767,0.625465625505811,0.625884443088805,NA,NA,0.647274500114797,0.679539845761968,0.846913750252087,0.878847295472293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433447774267909,0.0229554716956858,0.477265600833751,0.497032044570875,0.464845915234942,0.384990472152093,0.428702938720926,0.466673212012896,0.434341905410135,0.425595023276631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Indonesia","Eastern",2,"Math",NA,-0.804043601189566,0.0514498522485846,-0.770393740699571,-0.774608811173945,-0.798702087021268,-0.812001197847888,-0.792205156811333,-0.755187149582246,-0.766116674679403,-0.836156938818296,-0.793784402220094,-0.755481129880324,NA,-0.868259640178827,-0.744675180882185,-0.792593177513542,-0.774371723173074,-0.789873732781625,-0.714807915877378,NA,NA,-0.923954147966396,-0.821445906125609,-0.762790773716981,-0.708156247716037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12518292087355,-1.74461584887217,-0.887064336628176,-0.93325266443895,-1.04306888296621,-1.17370068266908,-1.25931488249272,-1.35993263403434,-1.02324369808318,-1.24616672283157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
