Country,Region,Test,Round,Year,Subject,Mean,StDev,Per5,Per10,Per25,Per75,Per90,Per95,Mean-M,Mean-F,Con-Num,Con-Alg,Con-Meas,Con-Geom,Con-Data,Con-Num-F,Con-Num-M,Con-Alg-F,Con-Alg-M,Con-Meas-F,Con-Meas-M,Con-Geom-F,Con-Geom-M,Con-Data-F,Con-Data-M,Con-SS,Con-SS-M,Con-SS-F,Con-CR,Con-CR-M,Con-CR-F,Con-Quant,Con-Quant-M,Con-Quant-F,Con-Un,Con-Un-M,Con-Un-F
Kuwait,Western,TIMSS,2,2007,Science,418,89,263,298,358,481,530,557,391,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,Western,TIMSS,2,2007,Science,414,97,255,284,344,484,539,569,417,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Eastern,TIMSS,2,2007,Science,519,78,382,414,466,574,616,640,519,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,Eastern,TIMSS,2,2007,Science,471,88,319,357,416,530,581,608,466,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,Western,TIMSS,2,2007,Science,457,114,251,298,386,537,595,627,458,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Western,TIMSS,2,2007,Science,402,79,274,301,348,456,504,532,401,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Western,TIMSS,2,2007,Science,487,73,360,389,438,539,578,600,486,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman,Western,TIMSS,2,2007,Science,423,96,253,293,360,492,541,568,391,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestinian Nat'l Auth.,Western,TIMSS,2,2007,Science,404,111,213,255,327,486,543,574,386,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,Western,TIMSS,2,2007,Science,319,126,101,146,229,414,480,511,284,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Eastern,TIMSS,2,2007,Science,462,88,307,345,405,524,572,597,458,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,Eastern,TIMSS,2,2007,Science,530,78,397,427,477,584,627,653,533,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Western,TIMSS,2,2007,Science,403,78,272,300,351,459,503,529,383,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,Western,TIMSS,2,2007,Science,496,81,358,388,441,553,597,623,498,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,Eastern,TIMSS,2,2007,Science,470,85,318,359,419,529,571,596,469,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,Eastern,TIMSS,2,2007,Science,567,104,374,421,500,644,694,720,563,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,Eastern,TIMSS,2,2007,Science,538,72,414,442,491,587,628,651,539,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Western,TIMSS,2,2007,Science,511,78,373,405,460,564,608,633,510,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,Western,TIMSS,2,2007,Science,452,75,326,355,402,505,546,569,457,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Western,TIMSS,2,2007,Science,471,83,334,363,414,526,578,609,462,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,Western,TIMSS,2,2007,Science,445,60,346,367,404,486,524,545,455,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,Western,TIMSS,2,2007,Science,454,92,308,336,390,518,577,610,452,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,Eastern,TIMSS,2,2007,Science,485,84,338,374,433,543,588,613,486,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,Western,TIMSS,2,2007,Science,520,82,378,410,464,578,623,649,526,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,Eastern,TIMSS,3,2011,Math,467,91,310,344,405,531,578,608,462,472,474,496,NA,450,376,475,473,503,488,NA,NA,453,448,385,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,Western,TIMSS,3,2011,Math,505,85,369,397,445,560,618,652,509,500,513,489,NA,499,534,505,521,489,489,NA,NA,492,506,528,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Western,TIMSS,3,2011,Math,409,100,246,279,339,479,539,570,388,431,397,424,NA,398,407,414,380,448,402,NA,NA,416,380,430,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Western,TIMSS,3,2011,Math,416,80,290,315,361,469,522,553,424,409,413,403,NA,419,426,402,425,402,404,NA,NA,412,427,417,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinese Taipei,Eastern,TIMSS,3,2011,Math,609,106,413,459,543,683,734,765,606,613,598,628,NA,625,584,597,599,636,621,NA,NA,629,621,585,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
England,Western,TIMSS,3,2011,Math,507,85,361,393,448,567,616,640,505,508,512,489,NA,498,543,510,515,495,485,NA,NA,501,495,542,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Western,TIMSS,3,2011,Math,514,65,405,430,470,559,596,617,512,516,527,492,NA,502,542,522,531,501,484,NA,NA,505,499,544,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,Eastern,TIMSS,3,2011,Math,431,106,254,289,356,507,563,598,432,430,435,450,NA,406,392,431,439,453,448,NA,NA,405,408,393,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,Western,TIMSS,3,2011,Math,331,86,194,222,271,389,442,474,342,318,321,358,NA,315,296,307,333,348,368,NA,NA,303,327,287,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong Kong SAR,Eastern,TIMSS,3,2011,Math,586,84,428,470,537,644,684,706,583,588,588,583,NA,597,581,588,588,586,579,NA,NA,604,591,585,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,Western,TIMSS,3,2011,Math,505,90,348,385,448,567,614,642,508,502,510,496,NA,501,517,503,516,500,493,NA,NA,499,503,511,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Eastern,TIMSS,3,2011,Math,386,84,248,280,330,442,494,524,379,392,375,392,NA,377,376,380,370,402,382,NA,NA,382,372,381,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep. of",Western,TIMSS,3,2011,Math,415,95,266,296,348,476,537,578,418,411,402,422,NA,437,393,390,412,426,419,NA,NA,435,439,387,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,Western,TIMSS,3,2011,Math,516,98,338,381,452,585,636,663,512,520,518,521,NA,496,515,516,519,529,512,NA,NA,501,491,518,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,Western,TIMSS,3,2011,Math,498,73,372,400,450,549,590,615,504,493,496,491,NA,512,499,485,507,489,493,NA,NA,510,513,492,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Eastern,TIMSS,3,2011,Math,570,85,425,458,515,630,674,701,574,566,557,570,NA,586,579,549,565,568,572,NA,NA,582,589,576,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,Western,TIMSS,3,2011,Math,406,99,232,271,340,479,528,556,392,420,390,432,NA,407,379,398,383,451,413,NA,NA,417,397,393,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,Eastern,TIMSS,3,2011,Math,487,80,353,381,431,544,587,611,488,486,479,506,NA,491,444,476,482,509,503,NA,NA,489,493,442,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Eastern,TIMSS,3,2011,Math,613,90,455,492,555,676,724,750,616,610,618,617,NA,612,616,610,626,617,616,NA,NA,611,613,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,Western,TIMSS,3,2011,Math,449,75,327,352,396,502,546,573,456,444,451,471,NA,447,393,443,462,468,475,NA,NA,441,455,390,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Eastern,TIMSS,3,2011,Math,502,79,369,401,450,558,602,625,498,507,501,492,NA,500,515,500,502,503,482,NA,NA,506,494,518,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, Rep. of",Eastern,TIMSS,3,2011,Math,426,109,239,279,352,504,561,596,423,430,418,448,NA,419,389,416,421,457,440,NA,NA,426,413,390,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,Eastern,TIMSS,3,2011,Math,440,92,290,319,373,507,560,589,430,449,451,430,NA,432,429,460,441,440,419,NA,NA,438,425,436,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Western,TIMSS,3,2011,Math,371,86,236,264,312,428,484,520,371,371,379,357,NA,390,332,378,381,360,353,NA,NA,386,394,332,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Western,TIMSS,3,2011,Math,488,85,346,375,428,548,598,624,496,478,492,472,NA,483,513,478,505,467,477,NA,NA,471,494,505,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Western,TIMSS,3,2011,Math,475,65,366,390,431,520,556,577,473,476,492,432,NA,461,513,491,494,435,429,NA,NA,464,458,516,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman,Western,TIMSS,3,2011,Math,366,108,186,224,290,444,505,541,334,397,351,383,NA,377,342,371,329,419,346,NA,NA,404,349,373,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestinian Nat'l Auth.,Western,TIMSS,3,2011,Math,404,100,236,272,336,476,533,562,392,415,400,419,NA,416,368,406,393,431,405,NA,NA,425,406,379,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,Western,TIMSS,3,2011,Math,410,110,227,265,331,489,552,586,404,415,408,425,NA,387,390,410,407,433,417,NA,NA,395,379,393,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Eastern,TIMSS,3,2011,Math,458,102,291,327,386,529,592,626,453,464,448,477,NA,453,429,449,446,489,466,NA,NA,457,450,431,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,Eastern,TIMSS,3,2011,Math,539,81,399,431,485,596,641,666,539,539,534,556,NA,533,511,528,540,560,552,NA,NA,532,534,510,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Western,TIMSS,3,2011,Math,394,93,243,274,329,458,516,551,387,401,393,399,NA,364,387,398,388,412,388,NA,NA,371,358,389,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,Eastern,TIMSS,3,2011,Math,611,84,453,494,559,672,713,734,607,615,611,614,NA,609,607,613,609,622,607,NA,NA,612,607,609,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,Eastern,TIMSS,3,2011,Math,505,70,387,412,457,554,595,619,507,502,511,493,NA,504,518,502,519,496,490,NA,NA,501,507,516,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Western,TIMSS,3,2011,Math,484,68,368,395,440,532,569,590,482,486,504,459,NA,456,504,502,505,464,454,NA,NA,458,454,508,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,Western,TIMSS,3,2011,Math,380,97,217,253,313,451,505,535,385,375,373,391,NA,386,343,364,381,389,394,NA,NA,379,395,340,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Western,TIMSS,3,2011,Math,427,86,290,318,368,483,536,573,417,435,425,425,NA,415,431,430,418,436,412,NA,NA,418,411,438,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,Western,TIMSS,3,2011,Math,425,75,305,330,373,475,525,554,433,417,431,419,NA,426,398,420,444,417,421,NA,NA,418,435,389,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,Western,TIMSS,3,2011,Math,452,113,273,311,374,529,603,645,448,457,435,455,NA,454,467,433,437,464,446,NA,NA,461,447,474,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,Eastern,TIMSS,3,2011,Math,479,90,326,362,421,542,592,621,481,478,472,487,NA,476,471,466,479,491,483,NA,NA,472,480,469,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,Western,TIMSS,3,2011,Math,456,88,309,340,394,518,568,598,447,464,459,468,NA,431,440,462,456,478,458,NA,NA,444,418,450,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,Western,TIMSS,3,2011,Math,509,77,381,409,457,562,607,635,511,508,514,512,NA,485,527,508,520,513,510,NA,NA,482,487,525,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,Eastern,TIMSS,3,2011,Science,437,95,273,309,373,506,557,585,428,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,Western,TIMSS,3,2011,Science,519,84,381,412,463,575,628,658,527,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Western,TIMSS,3,2011,Science,452,102,275,313,384,525,579,610,423,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Western,TIMSS,3,2011,Science,461,73,341,367,410,511,557,583,470,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinese Taipei,Eastern,TIMSS,3,2011,Science,564,84,415,452,510,623,665,689,564,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
England,Western,TIMSS,3,2011,Science,533,85,385,419,477,594,639,664,532,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Western,TIMSS,3,2011,Science,552,65,444,470,509,597,634,656,550,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,Eastern,TIMSS,3,2011,Science,420,90,258,296,363,483,528,555,415,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,Western,TIMSS,3,2011,Science,306,112,121,159,226,388,452,488,320,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong Kong SAR,Eastern,TIMSS,3,2011,Science,535,75,398,434,492,587,622,643,534,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,Western,TIMSS,3,2011,Science,522,83,376,412,475,579,621,645,531,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Eastern,TIMSS,3,2011,Science,406,79,272,303,353,461,505,530,402,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep. of",Western,TIMSS,3,2011,Science,474,90,325,357,412,537,590,621,472,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,Western,TIMSS,3,2011,Science,516,94,347,386,456,582,630,656,512,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,Western,TIMSS,3,2011,Science,501,76,369,400,452,554,594,618,508,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Eastern,TIMSS,3,2011,Science,558,76,422,458,511,610,649,674,562,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,Western,TIMSS,3,2011,Science,449,103,258,307,388,522,568,595,428,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,Eastern,TIMSS,3,2011,Science,490,79,358,386,435,546,590,616,488,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Eastern,TIMSS,3,2011,Science,560,77,425,459,510,614,656,681,563,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,Western,TIMSS,3,2011,Science,406,98,243,276,337,475,532,562,408,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,Eastern,TIMSS,3,2011,Science,514,76,383,413,464,567,607,632,510,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, Rep. of",Eastern,TIMSS,3,2011,Science,407,114,214,256,327,492,552,586,399,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,Eastern,TIMSS,3,2011,Science,426,101,250,288,358,499,553,584,419,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Western,TIMSS,3,2011,Science,376,86,235,266,317,435,488,518,374,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Western,TIMSS,3,2011,Science,512,85,365,399,455,572,621,647,522,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,Western,TIMSS,3,2011,Science,494,73,368,399,447,544,584,609,494,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman,Western,TIMSS,3,2011,Science,420,111,225,268,343,502,556,586,380,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestinian Nat'l Auth.,Western,TIMSS,3,2011,Science,420,105,237,278,351,497,551,580,406,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,Western,TIMSS,3,2011,Science,419,121,212,255,334,507,571,606,406,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Eastern,TIMSS,3,2011,Science,465,86,316,351,408,523,572,601,464,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,Eastern,TIMSS,3,2011,Science,542,77,410,442,493,596,638,661,546,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Western,TIMSS,3,2011,Science,436,82,295,328,382,494,541,567,424,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,Eastern,TIMSS,3,2011,Science,590,97,409,453,530,660,705,730,591,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,Eastern,TIMSS,3,2011,Science,543,76,412,444,494,595,637,661,545,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,Western,TIMSS,3,2011,Science,509,81,368,403,458,566,608,633,508,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,Western,TIMSS,3,2011,Science,426,84,282,315,369,487,533,558,429,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Western,TIMSS,3,2011,Science,451,80,317,346,397,504,551,581,443,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,Western,TIMSS,3,2011,Science,439,67,329,352,393,484,526,550,447,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,Western,TIMSS,3,2011,Science,483,103,312,349,413,554,614,648,475,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,Eastern,TIMSS,3,2011,Science,501,83,356,390,448,559,603,630,503,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,Western,TIMSS,3,2011,Science,465,97,299,335,399,532,587,619,452,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,Western,TIMSS,3,2011,Science,525,81,384,416,470,582,625,651,530,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,Western,PISA,2,2006,Math,520,88,375,406,460,581,633,663,527,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,Western,PISA,2,2006,Math,505,98,338,373,438,577,630,657,517,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,Western,PISA,2,2006,Math,520,106,337,381,451,598,650,678,524,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,Western,PISA,2,2006,Math,527,86,383,416,470,587,635,664,534,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czech Republic,Eastern,PISA,2,2006,Math,510,103,340,376,441,582,644,677,514,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Western,PISA,2,2006,Math,513,85,371,404,456,572,621,649,518,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
