"","Country","Region","Round","Subject","Year.Test","Mean.Test","StDev.Test","Per5.Test","Per10.Test","Per25.Test","Per75.Test","Per90.Test","Per95.Test","Mean.M.Test","Mean.F.Test","Con.Num.Test","Con.Alg.Test","Con.Meas.Test","Con.Geom.Test","Con.Data.Test","Con.Num.F.Test","Con.Num.M.Test","Con.Alg.F.Test","Con.Alg.M.Test","Con.Meas.F.Test","Con.Meas.M.Test","Con.Geom.F.Test","Con.Geom.M.Test","Con.Data.F.Test","Con.Data.M.Test","Con.SS.Test","Con.SS.M.Test","Con.SS.F.Test","Con.CR.Test","Con.CR.M.Test","Con.CR.F.Test","Con.Quant.Test","Con.Quant.M.Test","Con.Quant.F.Test","Con.Un.Test","Con.Un.M.Test","Con.Un.F.Test"
"1","Australia","Western",1,"Math",NA,0.696604346733682,-0.0855288340971693,0.845146403681121,NA,0.773531968305993,2.45018710903559,NA,2.43876486692963,0.59744423211232,0.817904733070841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Australia","Western",1,"Science",NA,0.315080050477752,0.230394928776458,0.422253514333722,NA,0.358654625937833,0.229457732125086,NA,0.265292857803727,0.194526598760928,0.439084148244342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Australia","Western",2,"Math",NA,0.838214816051715,-0.508291450958198,0.8467939382473,0.849128689540053,0.855646372642164,0.851532297742633,0.725735116364869,0.655271284950348,0.735644914178373,0.930851126934803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Australia","Western",2,"Science",NA,0.657419402421786,0.403386365224664,0.586947977721983,0.627029133375775,0.683134804387093,0.662751082191809,0.564192251204636,0.534578591533251,0.485937608532692,0.845156606821024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,-0.296750016279921,1.97325188424744,-0.593369923294874,NA,-0.428624286324603,2.86139788922484,NA,2.7788369006112,-0.310629816535663,-0.269106506858783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Hong Kong SAR","Eastern",1,"Science",NA,-0.000430593614308972,0.944464889128728,0.20531841713891,NA,-6.33448186149188e-06,0.0303800973559991,NA,-0.0345207678995139,-0.049929513235336,0.0590932939781577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Hong Kong SAR","Eastern",2,"Math",NA,-0.0126695469312292,-0.801447136457483,0.439799116778417,0.286457498961062,-0.0363871941527458,-0.0526829682049204,-0.00772988737847213,-0.0351234456849165,0.115815775800896,-0.138211415475261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","Hong Kong SAR","Eastern",2,"Science",NA,0.578752823804241,-0.633955248132049,1.25537557989235,0.960233522626259,0.634870782765105,0.445488052812085,0.410491520765681,0.387392799797701,0.762215490217995,0.379062313276239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hungary","Western",1,"Math",NA,-0.271589246012892,0.00346792132021395,-0.309656430193367,NA,-0.248252283009316,-0.429507333371627,NA,-0.397665878861799,-0.321131358461245,-0.231292599455687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Hungary","Western",1,"Science",NA,-0.429425393126584,-0.35346261635235,-0.256621909588644,NA,-0.340513274966417,-0.469451356207327,NA,-0.630653620957868,-0.598022995193917,-0.237503305205034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
