"","Country","Region","Round","Subject","Year.PISA","Mean.PISA","StDev.PISA","Per5.PISA","Per10.PISA","Per25.PISA","Per75.PISA","Per90.PISA","Per95.PISA","Mean.M.PISA","Mean.F.PISA","Con.Num.PISA","Con.Alg.PISA","Con.Meas.PISA","Con.Geom.PISA","Con.Data.PISA","Con.Num.F.PISA","Con.Num.M.PISA","Con.Alg.F.PISA","Con.Alg.M.PISA","Con.Meas.F.PISA","Con.Meas.M.PISA","Con.Geom.F.PISA","Con.Geom.M.PISA","Con.Data.F.PISA","Con.Data.M.PISA","Con.SS.PISA","Con.SS.M.PISA","Con.SS.F.PISA","Con.CR.PISA","Con.CR.M.PISA","Con.CR.F.PISA","Con.Quant.PISA","Con.Quant.M.PISA","Con.Quant.F.PISA","Con.Un.PISA","Con.Un.M.PISA","Con.Un.F.PISA","Year.TIMSS","Mean.TIMSS","StDev.TIMSS","Per5.TIMSS","Per10.TIMSS","Per25.TIMSS","Per75.TIMSS","Per90.TIMSS","Per95.TIMSS","Mean.M.TIMSS","Mean.F.TIMSS","Con.Num.TIMSS","Con.Alg.TIMSS","Con.Meas.TIMSS","Con.Geom.TIMSS","Con.Data.TIMSS","Con.Num.F.TIMSS","Con.Num.M.TIMSS","Con.Alg.F.TIMSS","Con.Alg.M.TIMSS","Con.Meas.F.TIMSS","Con.Meas.M.TIMSS","Con.Geom.F.TIMSS","Con.Geom.M.TIMSS","Con.Data.F.TIMSS","Con.Data.M.TIMSS","Con.SS.TIMSS","Con.SS.M.TIMSS","Con.SS.F.TIMSS","Con.CR.TIMSS","Con.CR.M.TIMSS","Con.CR.F.TIMSS","Con.Quant.TIMSS","Con.Quant.M.TIMSS","Con.Quant.F.TIMSS","Con.Un.TIMSS","Con.Un.M.TIMSS","Con.Un.F.TIMSS"
"1","Australia","Western",1,"Math",NA,0.634493857881723,0.283774522448202,0.693546734187579,0.65837031551006,0.653838926110308,0.629173586740513,0.605553300920056,0.603976309362929,0.60100278468356,0.685781691077071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561575313691803,0.535118651343328,0.57929277810854,0.631878467982911,0.601970244156911,0.675457808304073,0.565858735110527,0.537920464936048,0.602579125872144,0.721780285943594,0.687002336033772,0.765297480449277,NA,0.449300272321281,0.28922054557939,0.416029816611803,NA,0.421255457471137,-2.36338183503571,NA,-2.42334550674668,0.53249121503809,0.360336698926961,0.371698786410193,0.385966496518232,0.537040587112708,0.244514860844232,0.809232828031867,0.27336663576986,0.484429000598768,0.285355591268046,0.472098611218016,0.479702509039856,0.592946739467211,0.157972319077701,0.335699742573323,0.75555614818451,0.871760197630703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hungary","Western",1,"Math",NA,0.0835188378744112,0.116089577365174,0.10598017511181,0.111661925758314,0.0711840766329768,0.095743806677904,0.0986317876498579,0.117049672357157,0.0693941359634628,0.0990434252195407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0935958856153006,-0.0958602572701203,-0.102508598595339,0.204044088619482,0.203575391660337,0.201975128953669,0.21154810509866,0.178868418658441,0.249566032818292,0.0242722574034127,0.00746741669601912,0.04610225785839,NA,0.764713991830187,0.0519113799757879,0.824820629249808,NA,0.75505025805779,0.663122597643035,NA,0.635008067077808,0.823768460870892,0.708581562319459,0.77205187665874,0.862573416143832,0.717938469087515,0.596176683182004,0.742834237013867,0.704414316520017,0.825126319701198,0.813729148986921,0.893251329139124,0.644081622516446,0.776780745890263,0.510983087966419,0.697802835686121,0.702708505032807,0.765488478300484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Italy","Western",1,"Math",NA,-0.305404705660162,0.45145946753123,-0.461325468133761,-0.416194450553717,-0.374375514143806,-0.289511034478424,-0.229376250348506,-0.20249593317788,-0.236683570875381,-0.373606844499025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.233989714038251,-0.190507093562138,-0.24196797110295,-0.4091851884681,-0.308646561549543,-0.486726950101464,-0.142762524913206,-0.0946950451721162,-0.187497796676954,-0.407518426930985,-0.283761834448732,-0.536103398524709,NA,0.173313267750988,-0.304052368429615,0.238887131135334,NA,0.190166749372685,0.393717847006859,NA,0.377136770802556,0.201494344773543,0.128173456665295,0.139235701749747,0.0863850041821401,0.394906536989645,-0.0778418096320589,0.264764381684272,0.108554287247742,0.16993916758114,0.0414908723208732,0.118873751026119,0.353257037134787,0.435374733961737,-0.110315865277724,-0.0414909794191748,0.187443984303698,0.340401600979608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Japan","Eastern",1,"Math",NA,0.796545334354462,1.28988419294637,0.632763986696983,0.714926355829206,0.773797277473288,0.821801007318677,0.829195145009849,0.817006713052955,0.794315020581778,0.816167972378744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06075337030674,1.03990177823409,1.10613929647063,0.788751073749502,0.772710895226871,0.818937408107225,0.734578082735225,0.708897629830147,0.753870451466652,0.671958283905009,0.687002336033772,0.662555305793436,NA,1.3035457626579,0.0519113799757879,1.30174324399415,NA,1.30709550518187,0.886671220511352,NA,0.846462530023515,1.326883703673,1.26319375216677,1.13366111946388,1.3255629952087,1.15726189674062,1.65116215019532,1.36698099258306,1.08475050541721,1.17892738184603,1.28791054693976,1.35516076169776,1.17515260451774,1.13131775827758,1.61237668689922,1.66341108398692,1.32366831206532,1.38983482936552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Korea","Eastern",1,"Math",NA,0.926186515532653,-0.219280312800883,1.17980871411235,1.11081863806323,0.979440165524111,0.836618501209305,0.814285688737196,0.817006713052955,1.00373660947151,0.783571402053326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04515405603752,1.11877414181077,0.904697980626301,0.959884825494874,1.04305025942097,0.80458944812691,0.903297430359923,1.01665652663952,0.737060304178373,0.838031624033624,0.881155170130273,0.73105008889733,NA,1.55324829060245,0.526529711182992,1.38350140652175,NA,1.53818421328032,1.02423960381493,NA,0.939296196682606,1.60492107469522,1.48245903652501,1.50818497808349,1.72046587146991,1.38984488785108,1.81234048543347,1.31386211976866,1.43973094838793,1.55893593007566,1.64015958541901,1.78989905116471,1.37746535956585,1.39393776745337,1.68297884067696,1.90481314606212,1.24439684733777,1.37655086444924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","New Zealand","Western",1,"Math",NA,0.618288710234449,0.786829357697287,0.571981239206386,0.564110248311483,0.568154389422465,0.643991080631141,0.68010058228332,0.695275053801512,0.665440196649633,0.587991980100816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62397257076867,0.661314433066018,0.594788263942719,0.646139613961692,0.701568957281055,0.589370048422181,0.464627126535708,0.520822748446638,0.417667505701078,0.738387619956455,0.735540544557897,0.748173784673304,NA,0.304735650879699,-0.185397785627814,0.361524374926736,NA,0.305711103421911,0.456770022687666,NA,0.464813011536142,0.294173468447616,0.308744867313257,0.152150317564216,0.263410431471649,0.394906536989645,0.200557133052011,0.742834237013867,0.146587906137461,0.16993916758114,0.258259511385027,0.254729466484541,0.403835225896815,0.395981732585369,0.228574472855445,0.169735824896624,0.795191880548288,0.68578468880282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Norway","Western",1,"Math",NA,0.164544576110781,-0.219280312800883,0.268067501753401,0.224774006396606,0.191142427995957,0.155013782240416,0.143360156467817,0.132266129763588,0.133831547929535,0.196833136195796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0311986285384335,-0.0958602572701203,0.0214552880780937,0.104216066768015,0.0755199033578672,0.144583289032408,0.177804235573721,0.127575269190212,0.232755885530013,0.422848273712088,0.411952487730396,0.439947260705781,NA,-0.128958213445048,-1.01597986524042,0.0344917248163317,NA,-0.0409219587257676,0.244685431761314,NA,0.20694171526089,-0.142742400301586,-0.103989785596371,-0.170715077797515,-0.580864683293701,0.149402268595265,-0.195062417077983,0.371002127313071,-0.145003172017056,-0.196965637606092,-0.581718964988569,-0.573990397811832,0.163588829277183,0.13336172340958,-0.15267715754437,-0.237630154855274,0.398834556910512,0.353685565895885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Sweden","Western",1,"Math",NA,0.391416643172615,0.283774522448202,0.470676660055391,0.432146154233475,0.413922223384348,0.392093684490464,0.381911456830263,0.390945905672904,0.359362489810789,0.425009128473724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202791085499818,0.172305778890595,0.238392089756601,0.346655548407292,0.303174104784481,0.402846568678083,0.515242930823117,0.486627315467819,0.535338536719029,0.389633605686365,0.363414279206271,0.405699869153834,NA,0.370446842444054,-1.01597986524042,0.552293420824471,NA,0.446931980593187,0.456770022687666,NA,0.418396178206597,0.373612717311108,0.360336698926961,0.345869554781255,0.127237025864334,0.549961864396623,-0.10714696149354,0.915470573660666,0.33675600058606,0.353391570174756,0.0956830320869116,0.159630465663646,0.542925244992391,0.553553738090842,-0.0679545730110781,-0.147104381577074,0.927310988427547,0.911612092379535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","United States","Western",1,"Math",NA,-0.029917195656506,0.283774522448202,-0.137150814850578,-0.152266262397701,-0.0659111820675718,0.00683884333413588,0.0389939625592464,0.0257509279185751,-0.059480687968682,0.00125371424328561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.202791085499818,-0.190507093562138,-0.210976999434592,0.0756937748104531,0.0470631281795405,0.101539409091462,-0.125890590150736,-0.145988194640346,-0.103447060235561,0.0574869254291357,0.00746741669601912,0.131720736738257,NA,0.43615803400841,0.0519113799757879,0.42965617703307,NA,0.421255457471137,0.525554214339456,NA,0.526702122642203,0.479531715795763,0.399030572637238,0.500844944554886,0.535757242686278,0.330300150570071,-0.0338840818398374,0.756113955217467,0.450856857255219,0.549947715810773,0.475028150449181,0.580783183584754,0.290034301182252,0.36971973166779,-0.0679545730110781,0.00377190721992498,0.742344237396585,0.752204513384207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Hong Kong SAR","Eastern",1,"Math",NA,1.05582769671084,1.12219924786334,0.896155892489569,0.997706557424937,1.08226160954952,1.07369840345935,1.00810862028168,0.969171287117258,1.00373660947151,1.10953710530751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13874994165282,1.07145072366476,1.21460769730988,0.845795657664626,0.786939282816035,0.905025167989117,1.03827290845968,0.982461093660704,1.1068835445205,1.17017830429085,1.15620501843365,1.19338987484861,NA,1.51382157566384,-0.89732528243862,1.60152317326202,NA,1.65372856732955,-2.32325772323883,NA,-2.39240095119365,1.51224195102115,1.49535699442844,1.50818497808349,1.48897108193748,1.48029382883849,1.66581472612606,1.27402296515786,1.50312031320413,1.50652095790606,1.45048702623787,1.51818762024786,1.4786217370899,1.4727237702061,1.59825625614367,1.72376159950572,1.29724449048947,1.24371121528647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
